di/do,do,t*=t/do,t,del*=del/do,del,Lexposed,At (total outer surface area),h,qcu (heat flux copper),qss (heat flux Steel),qo (maximum heat flux possible),qcu/qo (efficiency copper),qss/qo (efficiency steel),Qcu (rate of heat transfer copper),Qss (rate of heat transfer steel),Qo (max. rate of HT possible),Ecu (effectiveness copper),Ess (effectiveness steel)
0.8333,6,0.0333,0.2,0.1,0.6,75.2,0.0752,5,499.875,496.331,500,0.99975,0.992662,37.5906,37.3240912,9.425,3.988392573,3.960115777
0.8333,6,0.0333,0.2,0.1,0.6,75.2,0.0752,20,1998.007,1942.193,2000,0.9990035,0.9710965,150.2501264,146.0529136,37.7,3.985414493,3.874082589
0.8333,6,0.0333,0.2,0.1,0.6,75.2,0.0752,50,4987.556,4649.601,5000,0.9975112,0.9299202,375.0642112,349.6499952,94.25,3.979461127,3.709814273
0.8333,6,0.0333,0.2,0.1,0.6,75.2,0.0752,100,9950.311,8667.041,10000,0.9950311,0.8667041,748.2633872,651.7614832,188.5,3.969567041,3.457620601
0.8333,6,0.0333,0.2,0.1,0.6,75.2,0.0752,200,19801.93,15162.99,20000,0.9900965,0.7581495,1489.105136,1140.256848,377,3.949880997,3.024553973
0.8333,6,0.0333,0.2,0.2,1.2,104,0.104,5,499.793,495.865,500,0.999586,0.99173,51.978472,51.56996,9.425,5.514957241,5.471613793
0.8333,6,0.0333,0.2,0.2,1.2,104,0.104,20,1996.703,1934.89,2000,0.9983515,0.967445,207.657112,201.22856,37.7,5.508146207,5.337627586
0.8333,6,0.0333,0.2,0.2,1.2,104,0.104,50,4979.426,4605.617,5000,0.9958852,0.9211234,517.860304,478.984168,94.25,5.494539034,5.082060138
0.8333,6,0.0333,0.2,0.2,1.2,104,0.104,100,9917.927,8501.535,10000,0.9917927,0.8501535,1031.464408,884.15964,188.5,5.471959724,4.690502069
0.8333,6,0.0333,0.2,0.2,1.2,104,0.104,200,19673.464,14575.49,20000,0.9836732,0.7287745,2046.040256,1515.85096,377,5.427162483,4.020824828
0.8333,6,0.0333,0.2,0.4,2.4,161.6,0.1616,5,499.739,493.827,500,0.999478,0.987654,80.7578224,79.8024432,9.425,8.56846922,8.467102727
